                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.61178,                0.44774,                 1.0396,                0.99188,                0.99064,                0.99353,                0.86985,                0.47084,                0.21607,                 1.0399,               0.002674,               0.002674,               0.002674
                     76,                0.60941,                0.44515,                 1.0382,                0.99177,                 0.9908,                0.99356,                0.87076,                0.46894,                0.21492,                 1.0391,               0.002575,               0.002575,               0.002575
                     77,                0.60429,                0.44015,                 1.0368,                0.99179,                0.99083,                0.99357,                0.87159,                0.46699,                0.21404,                  1.038,               0.002476,               0.002476,               0.002476
                     78,                0.60229,                0.43668,                 1.0361,                0.99193,                 0.9911,                0.99367,                0.87251,                0.46506,                0.21326,                  1.037,               0.002377,               0.002377,               0.002377
                     79,                0.59845,                0.43437,                 1.0327,                 0.9918,                0.99124,                0.99364,                 0.8731,                0.46319,                0.21237,                 1.0359,               0.002278,               0.002278,               0.002278
                     80,                0.59637,                0.42957,                 1.0331,                0.99166,                0.99134,                0.99363,                0.87368,                0.46106,                0.21148,                 1.0347,               0.002179,               0.002179,               0.002179
                     81,                0.59394,                 0.4287,                 1.0325,                 0.9917,                0.99145,                0.99355,                0.87425,                0.45946,                0.21073,                 1.0339,                0.00208,                0.00208,                0.00208
                     82,                0.58822,                0.42173,                 1.0299,                 0.9918,                 0.9914,                0.99361,                0.87526,                0.45774,                0.20989,                  1.033,               0.001981,               0.001981,               0.001981
                     83,                0.57875,                0.41229,                 1.0271,                0.99175,                0.99147,                0.99362,                0.87575,                0.45693,                0.20949,                 1.0322,               0.001882,               0.001882,               0.001882
                     84,                 0.5801,                0.41272,                 1.0284,                0.99172,                0.99151,                0.99357,                0.87636,                 0.4558,                 0.2086,                 1.0314,               0.001783,               0.001783,               0.001783
                     85,                0.57632,                0.41105,                 1.0258,                0.99163,                0.99169,                0.99362,                0.87692,                0.45476,                0.20831,                 1.0306,               0.001684,               0.001684,               0.001684
                     86,                0.57541,                0.40852,                 1.0259,                0.99172,                0.99172,                0.99357,                0.87755,                0.45358,                0.20753,                 1.0297,               0.001585,               0.001585,               0.001585
                     87,                0.56823,                0.40203,                 1.0231,                0.99173,                0.99182,                0.99356,                0.87766,                0.45276,                0.20704,                 1.0292,               0.001486,               0.001486,               0.001486
                     88,                 0.5685,                0.40212,                 1.0233,                0.99167,                0.99185,                0.99354,                0.87873,                0.45176,                0.20677,                 1.0285,               0.001387,               0.001387,               0.001387
                     89,                0.56165,                0.39748,                 1.0202,                0.99186,                 0.9918,                0.99353,                0.87949,                0.45068,                0.20592,                 1.0277,               0.001288,               0.001288,               0.001288
                     90,                0.55919,                0.39471,                 1.0191,                0.99194,                0.99173,                 0.9935,                0.88006,                 0.4496,                0.20546,                 1.0268,               0.001189,               0.001189,               0.001189
                     91,                0.51556,                0.27037,                 1.0444,                0.99192,                0.99178,                0.99354,                0.88084,                0.44797,                0.20503,                  1.026,                0.00109,                0.00109,                0.00109
                     92,                0.50676,                0.26435,                 1.0397,                0.99198,                0.99173,                0.99354,                 0.8815,                0.44648,                0.20408,                 1.0252,               0.000991,               0.000991,               0.000991
                     93,                0.50122,                0.25936,                 1.0381,                0.99176,                0.99166,                0.99347,                0.88156,                0.44635,                0.20395,                 1.0249,               0.000892,               0.000892,               0.000892
                     94,                 0.4975,                0.25511,                 1.0375,                0.99178,                0.99171,                0.99352,                0.88206,                0.44579,                0.20361,                 1.0243,               0.000793,               0.000793,               0.000793
                     95,                0.48717,                0.25038,                 1.0313,                0.99166,                0.99166,                0.99355,                0.88257,                0.44611,                0.20373,                 1.0241,               0.000694,               0.000694,               0.000694
                     96,                  0.487,                0.24808,                 1.0331,                0.99163,                0.99161,                0.99351,                0.88296,                0.44571,                0.20352,                 1.0236,               0.000595,               0.000595,               0.000595
                     97,                0.48292,                0.24603,                 1.0293,                 0.9915,                0.99161,                 0.9935,                0.88361,                0.44504,                0.20326,                 1.0229,               0.000496,               0.000496,               0.000496
                     98,                 0.4764,                0.24084,                 1.0272,                0.99151,                0.99149,                0.99355,                0.88433,                0.44414,                0.20312,                 1.0223,               0.000397,               0.000397,               0.000397
                     99,                0.46976,                0.23701,                 1.0241,                0.99126,                0.99171,                0.99355,                0.88504,                0.44342,                0.20278,                 1.0216,               0.000298,               0.000298,               0.000298
                    100,                0.46579,                0.23346,                 1.0209,                0.99111,                0.99176,                 0.9935,                 0.8856,                0.44282,                0.20244,                  1.021,               0.000199,               0.000199,               0.000199
